Country,Baseline smoking prevalence (%),Desired smoking prevalence %),Unnamed: 3,Annual smoking-attributable cost-of-illness (Million Local Currency Unit),Smoking-attributable direct cost: health expenditure (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss due to morbidity (Million Local Currency Unit),Smoking-attributable indirect cost: productivity loss due to mortality (Million Local Currency Unit),Annual smoking-attributable cost-of-illness (Million USD),Smoking-attributable direct cost: health expenditure (MillionUSD),Smoking-attributable indirect cost: productivity loss (Million USD),Smoking-attributable indirect cost: productivity loss due to morbidity (Million USD),Smoking-attributable indirect cost: productivity loss due to mortality (Million USD),Annual smoking-attributable cost-of-illness (Million PPP$),Smoking-attributable direct cost: health expenditure (Million PPP$),Smoking-attributable indirect cost: productivity loss (Million PPP$),Smoking-attributable indirect cost: productivity loss due to morbidity (Million PPP$),Smoking-attributable indirect cost: productivity loss due to mortality (Million PPP$),Unnamed: 19,Smoking-attributable national economic cost (Million Local Currency Unit),Expected national economic cost recovery from desired smoking reduction (Million Local Currency Unit),Baseline cigarette price per pack (Local Currency Unit),Recommended cigarette price per pack (Local Currency Unit),Baseline totale tax per pack  of cigarettes (Local Currency Unit),Recommended total tax per pack of cigarettes (Local Currency Unit),Baseline cigarette tax revenue (Million Local Currency Unit),Expected cigarette tax revenue (Million Local Currency Unit),Expected cigarette tax revenue gain (Million Local Currency Unit),Unnamed: 29,Smoking-attributable national economic cost (Million USD),Expected national economic cost recovery from desired smoking reduction (Million USD),Baseline cigarette price per pack (USD),Recommended cigarette price per pack (USD),Baseline totale tax per pack  of cigarettes (USD),Recommended total tax per pack of cigarettes (USD),Baseline cigarette tax revenue (Million USD),Expected cigarette tax revenue (Million USD),Expected cigarette tax revenue gain (Million USD),Unnamed: 39,Smoking-attributable national economic cost (Million PPP$),Expected national economic cost recovery from desired smoking reduction (Million PPP$),Baseline cigarette price per pack (PPP$),Recommended cigarette price per pack (PPP$),Baseline totale tax per pack  of cigarettes (PPP$),Recommended total tax per pack of cigarettes (PPP$),Baseline cigarette tax revenue (Million PPP$),Expected cigarette tax revenue (Million PPP$),Expected cigarette tax revenue gain (Million PPP$)
Afghanistan,7.7,6.7,,9259.962020166571,4372.427306248195,4887.534713918376,544.3895377566978,4343.145176161686,108.7958203723062,52.982352338121885,55.8134680341843,6.2166858840309915,49.5967821501534,519.1420871834677,236.90398946574842,282.2380977177192,31.436598724574264,250.8014989931454,,,,. . .,,,,,,,,,,. . .,,,,,,,,,,. . .,,,,,,
Albania,19.2,18.2,,29941.10702794218,9215.696307678783,20725.410720263397,4741.926159819133,15983.484560444278,289.82550127380034,89.02334434695923,200.80215692684112,45.943070259569424,154.8590866672718,734.3500016920495,216.77572358583367,517.5742781062158,118.41980080046281,399.15447730575335,,155454.49572081817,6181.801235454526,270,340.3125,180.00000000000003,250.31250000000003,,,,,1499.2353795767035,63.558257142097844,2.35890267342303,2.973200244626944,1.57260178228202,2.1868993534859342,,,,,3715.412079587904,141.64773069551498,6.712410501193318,8.460434069212411,4.474940334128879,6.222963902147972,,,
Algeria,15.3,14.3,,119045.64885591377,25796.968517128465,93248.6803387853,20764.78779900572,72483.89253977957,879.9868938950342,190.99802867410745,688.9888652209268,153.42530886455503,535.5635563563717,2864.0567631756226,627.6630248461648,2236.393738329458,498.0042746205071,1738.3894637089506,,1255963.734687686,85896.9817598713,350,464.37908496732024,154.5432955791012,268.92238054642144,264168.5822981366,401556.95900309656,137388.37670495996,,9631.197095176434,512.5191004001532,2.406192852919743,3.192530386553646,1.0624599236831331,1.848797457317036,1816.1158705477635,2760.638527981249,944.5226574334854,,29209.22509667969,1555.408105668029,7.72916988715412,10.255042399295988,3.412832532718707,5.9387050448605745,5833.725289802721,8867.719872868327,3033.994583065606
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,27.4,26.4,,,6.637732900061803,,,,,7.850714258128156,,,,,10.989624006724839,,,,,338.1000501687018,7.324436621586614,3.65,4.316058394160584,2.8582370334928227,3.524295427653407,,,,,371.0958037771267,7.832785986638944,3.7222700000000013,4.4015163503649655,2.914830126755982,3.594076477120946,,,,,546.2426816058817,12.145280680400505,6.196943972835315,7.327773164958548,4.852694454147408,5.983523646270641,,,
Angola,,,,245480.6927577225,21755.240368168266,223725.45238955427,26367.05203839374,197358.40035115997,388.7620577244925,34.453270290742566,354.3087874337499,41.75688611262387,312.5519013211251,1169.7372682789028,106.61167701485873,1063.125591264044,125.29413836829931,937.8314528957424,,,,1000,,180.09100904951742,,35030.402625266885,,,,,,2.3080615975479155,,0.41566114205084526,,80.85232704602016,,,,,,4.380777149866386,,0.7889385773405064,,153.4603873713886,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,3.0829882373162887,,,,,1.1418474953023292,,,,,1.5201583541224069,,,,,,,10.44,,1.5583385549570072,,,,,,,,3.8666666666666663,,0.5771624277618544,,,,,,,,5.082765335929893,,0.7586847881971798,,,,
Argentina,21.1,20.1,,518372.3840928078,118574.09937894359,399798.28471386427,87599.01873757895,312199.26597628515,5452.54578110896,1248.2700660541498,4204.27571505481,921.1906134230165,3283.085101631792,12182.705246079997,2775.559805117017,9407.145440962979,2061.1812037658538,7345.96423719712,,67515410.34332842,3711975.1292603686,300,371.09004739336496,229.3579562831869,300.4480036765518,423647.0810506745,503601.4075196497,79954.32646897522,,1757726.79656144,1180.4115591956365,2.2871083326980255,2.829077131915567,1.748554976619554,2.2905237758370958,3229.755897313978,3839.3032516554836,609.5473543415055,,2681890.1437182287,2801.7902459583916,4.429875077522814,5.479608508215424,3.3867569812348557,4.4364904119274655,6255.678820038902,7436.304413922355,1180.625593883453
Armenia,21.8,20.8,,186053.69370094972,54908.73763237302,131144.9560685767,17575.601966489063,113569.35410208745,369.3229438633307,108.99571298625747,260.32723087707325,34.88817205094205,225.4390588261308,1161.8348381263627,342.19444880954234,819.6403893168205,109.84542349274744,709.7949658240717,,552260.7784620444,26325.080985828892,800,983.4862385321101,387.9333333333334,571.4195718654435,,,,,1244.1355050761795,60.196656590601535,1.962178999779255,2.412220054774497,0.9514932999762905,1.4015343549715324,,,,,3358.408347045898,149.34578912373837,4.953223000291002,6.089283321458663,2.4019003865577786,3.5379607077254396,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,10.1,9.1,,24513.882767713938,11897.948321410693,12615.934446303243,4281.46061086434,8334.473835438923,18421.99910528497,8937.600793641583,9484.398311643385,3218.7134422649287,6265.68486937847,16610.00264699762,8219.210800641646,8390.791846355973,2847.5770016910287,5543.214844664955,,76459.87563497752,5293.308943003767,33.2,49.63564356435644,25.55578181818182,41.99142538253826,10689.472418909092,14258.30016664995,3568.8277477408574,,51981.844239620536,3328.4415461428216,23.263240000000025,34.77969544554459,17.906936320000018,29.423391765544583,7490.113323929608,9990.790926771628,2500.67760284202,,50358.82294176217,3316.9175927420474,22.030524220305246,32.93672432936725,16.958050310671414,27.86425041973342,7093.21328394764,9461.380336197712,2368.1670522500717
Austria,20.6,19.6,,6848.969826192177,2947.517671661155,3901.452154531021,1071.2697479686944,2830.182406562332,8103.621047363813,3486.1486613099746,4617.472386053839,1267.876237701782,3349.596148352063,9042.16507381376,3897.2450294275022,5144.920044386257,1412.7040345394882,3732.216009846777,,34107.38161847753,1012.7640462586315,6,7.45631067961165,4.4402,5.89651067961165,2606.464003,3133.4443812000945,526.9803782000945,,37589.32501761544,1083.054866459241,6.118800000000002,7.603945631067963,4.528115960000002,6.0132615910679625,2658.071990259401,3195.4865799478575,537.4145896884565,,43090.6139384835,1261.0484217454177,8.119079837618404,10.089730283642288,6.008389715832206,7.97904016185609,3527.0148890392425,4240.114182950061,713.0992939108187
Azerbaijan,15.0,14.0,,1693.82220027199,173.21114131221194,1520.6110589597781,189.28883667014088,1331.3222222896384,996.3660260296002,101.88890365750981,894.4771223720904,111.34637810518961,783.1307442669014,2932.456574626753,299.8150393686384,2632.641535258115,327.71671009640056,2304.9248251617164,,6349.894453441766,263.2202630363855,2.2,2.9333333333333336,1.105593220338983,1.8389265536723165,696.8498788135593,1009.6754559146268,312.82557710106755,,4171.126015383254,154.83545204110482,1.2941176470588236,1.7254901960784315,0.6503489531405783,1.0817215021601863,409.91169341974074,593.9267387733099,184.01504535356918,,11740.494122654025,394.00609065185444,3.2983508245877062,4.397801099450275,1.657561049983483,2.7570113248460517,1044.7524419993392,1513.7563057190805,469.0038637197413
Bahamas,8.6,7.6,,76.58160802324801,10.474128947993378,66.10747907525462,10.684468939000448,55.42301013625427,76.58160802324801,10.474128947993378,66.10747907525462,10.684468939000448,55.42301013625427,91.18887535362143,12.650780033451532,78.5380953201699,12.693538639120762,65.84455668104926,,229.4082200988413,25.944653635926432,11.8,18.66046511627907,6.322727272727272,13.183192389006342,,,,,229.4082200988413,25.944653635926432,11.8,18.66046511627907,6.322727272727272,13.183192389006342,,,,,283.30396472055355,34.200154612776174,14.549938347718866,23.009204828950764,7.796211187086649,16.255477668318548,,,
Bahrain,13.8,12.8,,137.82683677729727,9.104703798329663,128.72213297896764,34.11015191145839,94.6119810675091,366.5607442842196,24.21463840552141,342.34610587869815,90.71849112169883,251.62761475699892,748.0845991321797,49.460135237424865,698.6244638947549,185.1288977351312,513.4955661596227,,765.1573088981904,31.06367010327324,2.4,3.2695652173913046,1.761038961038961,2.6306041784302656,,,,,2034.9928048425718,82.61614508330902,6.382978723404255,8.695652173913043,4.6836142580823426,6.99628770859113,,,,,4371.010928250446,182.05289528802604,12.903225806451612,17.578307620383356,9.467951403435274,14.143033217367018,,,
Bangladesh,13.1,12.1,,391731.1469842552,93630.27601297831,298100.8709712769,47027.82843265552,251073.04253862108,4615.531150062589,1100.4482239569559,3515.0829261056333,554.5328205075268,2960.5501055981044,12854.246565810625,2916.8873225496422,9937.359243260982,1567.6989605668423,8369.660282694133,,1989976.6988538157,130539.46986017271,100,138.1679389312977,58.4,96.5679389312977,226155.16799999998,319047.0849819371,92891.9169819371,,20217.924084652146,1106.2668220547398,1.0559662090813093,1.459006746898603,0.6166842661034846,1.0197248039207782,2388.1221541710656,3369.0294084681846,980.9072542971189,,65487.434342308334,3650.5868877183166,3.1141976269814085,4.302822675447595,1.8186914141571424,3.0073164626233284,7042.918875151816,9935.756749460841,2892.837874309025
Barbados,5.2,4.2,,45.555863848472235,11.263249495343489,34.29261435312875,7.641441735414348,26.651172617714444,22.777931924236118,5.6316247476717445,17.146307176564374,3.820720867707174,13.325586308857222,19.774329573358195,4.940316762402204,14.834012810955993,3.3054710682030066,11.528541742753006,,---,---,16.8,---,7.222127659574468,---,,---,---,,---,---,8.4,---,3.611063829787234,---,,---,---,,---,---,7.269580268282129,---,3.1251093291105447,---,,---,---
Belarus,22.4,21.4,,6092.404721819361,798.846597202398,5293.558124616964,554.1427468947481,4739.4153777222045,2399.868871447293,314.6675846702636,2085.2012867770295,218.28402403094364,1866.9172627460814,7163.246913280398,935.0310560764547,6228.215857203943,651.9850282392347,5576.230828964695,,15964.250055800447,577.5636432611024,1.65,2.018303571428571,0.9338,1.3021035714285711,583.727718,742.9053511256689,159.17763312566888,,6079.075981999168,152.85274728218596,0.630492930836836,0.7712279600414869,0.3568207871608712,0.49755581636552204,223.05224226213218,283.876710403389,60.8244681412568,,19507.777404489338,507.11030147069414,1.7116182572614107,2.0936759039715467,0.9686721991701245,1.3507298458802603,605.5266784232365,770.6487044872083,165.12202606397182
Belgium,21.4,20.4,,8075.674809554697,3727.5339295097115,4348.140880044987,1102.5999713828,3245.5409086621785,9554.845853045232,4408.705516267268,5146.140336777965,1304.9563812671481,3841.1839555108077,10783.614406257631,5059.8680850571245,5723.746321200507,1451.4254951860694,4272.3208260144265,,35349.75791259359,1274.5376152110591,8,9.869158878504674,6.392675752066116,8.261834630570789,2724.526442151818,3199.761704808553,475.2352626567349,,38831.77102148426,1362.9967803066193,8.158400000000002,10.06456822429907,6.519250731957026,8.425418956256093,2778.4720657064245,3263.1169865637635,484.644920857339,,46024.56919910874,1679.874165909722,10.376134889753567,12.800465471471691,8.291408238736857,10.71573882045498,3533.7567343084547,4150.1448830201725,616.3881487117178
